id,UserId,StartSession,EndSession
1,3,"2022-08-27 22:33:59","2022-08-27 22:46:21"
2,3,"2022-08-28 03:34:56","2022-08-28 03:47:01"
3,3,"2022-08-28 10:08:18","2022-08-28 10:13:43"
4,3,"2022-08-28 15:38:39","2022-08-28 15:45:13"
5,3,"2022-08-28 18:59:16","2022-08-28 19:12:11"
6,3,"2022-08-28 23:35:50","2022-08-28 23:39:09"
7,3,"2022-08-29 06:25:59","2022-08-29 06:32:37"
8,3,"2022-08-29 11:44:35","2022-08-29 11:52:45"
9,3,"2022-08-29 17:55:11","2022-08-29 18:04:21"
10,3,"2022-08-29 22:31:30","2022-08-29 22:43:53"
11,3,"2022-08-30 01:24:41","2022-08-30 01:31:58"
12,4,"2022-10-22 12:01:18","2022-10-22 12:08:40"
13,4,"2022-10-22 16:19:35","2022-10-22 16:27:23"
14,5,"2022-10-17 23:21:26","2022-10-17 23:29:06"
15,5,"2022-10-18 06:23:31","2022-10-18 06:29:39"
16,6,"2022-01-14 12:43:32","2022-01-14 12:58:49"
17,7,"2022-02-02 21:29:32","2022-02-02 21:35:52"
18,7,"2022-02-03 05:45:19","2022-02-03 05:48:43"
19,7,"2022-02-03 06:40:17","2022-02-03 06:48:03"
20,7,"2022-02-03 13:08:12","2022-02-03 13:17:03"
21,8,"2022-06-01 04:04:44","2022-06-01 04:09:44"
22,8,"2022-06-01 06:22:56","2022-06-01 06:32:16"
23,8,"2022-06-01 09:18:40","2022-06-01 09:26:55"
24,8,"2022-06-01 16:39:37","2022-06-01 16:45:38"
25,8,"2022-06-02 00:03:30","2022-06-02 00:12:42"
26,8,"2022-06-02 05:00:52","2022-06-02 05:14:10"
27,8,"2022-06-02 10:43:31","2022-06-02 10:52:51"
28,8,"2022-06-02 19:12:01","2022-06-02 19:19:36"
29,8,"2022-06-03 01:39:10","2022-06-03 01:50:59"
30,8,"2022-06-03 07:37:21","2022-06-03 07:45:02"
31,8,"2022-06-03 09:52:14","2022-06-03 09:59:25"
32,8,"2022-06-03 12:40:39","2022-06-03 12:50:06"
33,8,"2022-06-03 13:54:23","2022-06-03 14:06:43"
34,8,"2022-06-03 21:15:12","2022-06-03 21:23:48"
35,8,"2022-06-04 01:37:05","2022-06-04 01:48:17"
36,8,"2022-06-04 05:43:10","2022-06-04 05:58:39"
37,8,"2022-06-04 11:37:25","2022-06-04 11:50:52"
38,8,"2022-06-04 18:27:51","2022-06-04 18:35:20"
39,8,"2022-06-04 23:02:52","2022-06-04 23:13:39"
40,8,"2022-06-05 07:01:32","2022-06-05 07:03:53"
41,8,"2022-06-05 10:57:06","2022-06-05 11:01:27"
42,8,"2022-06-05 17:57:21","2022-06-05 18:06:11"
43,8,"2022-06-05 22:58:58","2022-06-05 23:01:26"
44,8,"2022-06-06 07:08:41","2022-06-06 07:21:08"
45,9,"2022-04-30 08:58:15","2022-04-30 09:08:14"
46,9,"2022-04-30 14:00:30","2022-04-30 14:07:01"
47,9,"2022-04-30 21:33:34","2022-04-30 21:39:56"
48,9,"2022-05-01 04:29:27","2022-05-01 04:35:44"
49,9,"2022-05-01 11:17:31","2022-05-01 11:19:30"
50,9,"2022-05-01 16:05:54","2022-05-01 16:13:29"
51,9,"2022-05-01 19:22:17","2022-05-01 19:29:49"
52,9,"2022-05-02 00:56:41","2022-05-02 01:04:20"
53,10,"2022-06-26 20:33:06","2022-06-26 20:41:34"
54,10,"2022-06-26 22:05:14","2022-06-26 22:14:35"
55,10,"2022-06-27 02:00:24","2022-06-27 02:13:47"
56,10,"2022-06-27 03:31:24","2022-06-27 03:39:30"
57,10,"2022-06-27 05:25:52","2022-06-27 05:35:02"
58,10,"2022-06-27 08:19:47","2022-06-27 08:33:41"
59,10,"2022-06-27 16:37:25","2022-06-27 16:47:11"
60,10,"2022-06-27 23:27:58","2022-06-27 23:37:01"
61,10,"2022-06-28 01:40:48","2022-06-28 01:51:39"
62,10,"2022-06-28 09:43:26","2022-06-28 09:47:39"
63,10,"2022-06-28 15:04:43","2022-06-28 15:16:51"
64,10,"2022-06-28 18:28:48","2022-06-28 18:38:31"
65,10,"2022-06-28 22:19:10","2022-06-28 22:25:20"
66,10,"2022-06-29 05:31:12","2022-06-29 05:41:55"
67,10,"2022-06-29 13:31:15","2022-06-29 13:40:16"
68,10,"2022-06-29 15:12:38","2022-06-29 15:26:40"
69,10,"2022-06-29 22:50:38","2022-06-29 22:58:13"
70,10,"2022-06-30 05:57:25","2022-06-30 06:02:00"
71,10,"2022-06-30 10:32:54","2022-06-30 10:39:24"
72,10,"2022-06-30 16:02:05","2022-06-30 16:06:31"
73,10,"2022-06-30 18:05:48","2022-06-30 18:08:50"
74,10,"2022-06-30 22:32:02","2022-06-30 22:36:51"
75,10,"2022-07-01 05:24:36","2022-07-01 05:33:26"
76,11,"2022-03-14 18:10:57","2022-03-14 18:20:25"
77,11,"2022-03-14 23:48:53","2022-03-14 23:55:32"
78,11,"2022-03-15 06:36:44","2022-03-15 06:45:07"
79,11,"2022-03-15 10:32:39","2022-03-15 10:35:50"
80,11,"2022-03-15 13:45:41","2022-03-15 13:53:09"
81,11,"2022-03-15 21:56:18","2022-03-15 22:07:25"
82,12,"2022-08-30 23:32:19","2022-08-30 23:36:50"
83,12,"2022-08-31 04:48:37","2022-08-31 04:58:06"
84,12,"2022-08-31 05:50:53","2022-08-31 06:04:14"
85,12,"2022-08-31 12:23:00","2022-08-31 12:32:45"
86,12,"2022-08-31 17:43:36","2022-08-31 17:51:30"
87,12,"2022-09-01 00:03:22","2022-09-01 00:07:54"
88,12,"2022-09-01 08:13:04","2022-09-01 08:23:47"
89,12,"2022-09-01 11:56:58","2022-09-01 12:03:07"
90,12,"2022-09-01 17:32:56","2022-09-01 17:38:40"
91,12,"2022-09-01 19:20:34","2022-09-01 19:25:40"
92,12,"2022-09-02 02:56:36","2022-09-02 03:06:10"
93,12,"2022-09-02 04:29:46","2022-09-02 04:34:42"
94,12,"2022-09-02 07:51:10","2022-09-02 08:01:18"
95,12,"2022-09-02 12:22:30","2022-09-02 12:29:48"
96,12,"2022-09-02 14:36:58","2022-09-02 14:41:12"
97,12,"2022-09-02 18:58:17","2022-09-02 19:06:28"
98,12,"2022-09-03 00:30:03","2022-09-03 00:34:46"
99,12,"2022-09-03 06:23:21","2022-09-03 06:26:03"
100,12,"2022-09-03 10:06:44","2022-09-03 10:20:32"
101,12,"2022-09-03 12:01:04","2022-09-03 12:09:40"
102,12,"2022-09-03 15:59:08","2022-09-03 16:04:27"
103,12,"2022-09-03 23:31:52","2022-09-03 23:38:11"
104,12,"2022-09-04 02:23:55","2022-09-04 02:26:24"
105,12,"2022-09-04 03:55:43","2022-09-04 04:04:31"
106,12,"2022-09-04 09:24:51","2022-09-04 09:33:44"
107,12,"2022-09-04 15:06:54","2022-09-04 15:13:00"
108,12,"2022-09-04 16:20:28","2022-09-04 16:26:34"
109,12,"2022-09-04 19:51:42","2022-09-04 19:58:36"
110,12,"2022-09-05 01:40:03","2022-09-05 01:49:04"
111,13,"2022-01-11 17:34:28","2022-01-11 17:47:51"
112,13,"2022-01-11 22:32:06","2022-01-11 22:47:01"
113,13,"2022-01-12 04:46:23","2022-01-12 04:52:04"
114,13,"2022-01-12 11:24:37","2022-01-12 11:32:36"
115,14,"2022-12-01 13:12:35","2022-12-01 13:20:33"
116,14,"2022-12-01 20:12:38","2022-12-01 20:21:28"
117,14,"2022-12-02 04:02:31","2022-12-02 04:10:49"
118,14,"2022-12-02 09:35:37","2022-12-02 09:47:23"
119,14,"2022-12-02 15:29:40","2022-12-02 15:34:05"
120,14,"2022-12-02 19:56:46","2022-12-02 20:01:25"
121,14,"2022-12-03 03:01:50","2022-12-03 03:08:31"
122,14,"2022-12-03 05:49:45","2022-12-03 06:01:22"
123,14,"2022-12-03 08:30:32","2022-12-03 08:43:12"
124,14,"2022-12-03 10:44:05","2022-12-03 10:51:06"
125,14,"2022-12-03 13:30:29","2022-12-03 13:38:25"
126,14,"2022-12-03 16:41:04","2022-12-03 16:43:49"
127,14,"2022-12-03 17:47:03","2022-12-03 17:49:34"
128,14,"2022-12-03 22:47:12","2022-12-03 22:55:29"
129,14,"2022-12-04 01:12:38","2022-12-04 01:21:37"
130,14,"2022-12-04 09:33:04","2022-12-04 09:49:12"
131,14,"2022-12-04 17:23:26","2022-12-04 17:35:46"
132,14,"2022-12-04 19:49:15","2022-12-04 19:55:02"
133,14,"2022-12-04 21:15:52","2022-12-04 21:26:26"
134,14,"2022-12-05 04:10:49","2022-12-05 04:17:05"
135,14,"2022-12-05 05:30:32","2022-12-05 05:45:00"
136,14,"2022-12-05 13:42:12","2022-12-05 13:53:18"
137,14,"2022-12-05 21:40:34","2022-12-05 21:50:15"
138,14,"2022-12-06 02:52:38","2022-12-06 03:00:12"
139,14,"2022-12-06 05:33:23","2022-12-06 05:45:17"
140,14,"2022-12-06 09:15:48","2022-12-06 09:19:30"
141,14,"2022-12-06 16:55:25","2022-12-06 17:04:31"
142,14,"2022-12-06 21:47:42","2022-12-06 21:55:28"
143,14,"2022-12-07 06:11:44","2022-12-07 06:22:30"
144,14,"2022-12-07 10:55:22","2022-12-07 11:04:32"
145,14,"2022-12-07 18:40:20","2022-12-07 18:48:12"
146,14,"2022-12-08 02:35:17","2022-12-08 02:48:54"
147,14,"2022-12-08 05:48:20","2022-12-08 05:52:20"
148,14,"2022-12-08 13:41:37","2022-12-08 13:44:33"
149,14,"2022-12-08 17:52:29","2022-12-08 18:01:53"
150,14,"2022-12-09 01:56:47","2022-12-09 02:06:27"
151,15,"2022-11-24 21:32:09","2022-11-24 21:39:35"
152,15,"2022-11-25 02:53:51","2022-11-25 03:02:24"
153,15,"2022-11-25 04:17:08","2022-11-25 04:20:36"
154,15,"2022-11-25 09:15:31","2022-11-25 09:26:34"
155,15,"2022-11-25 10:35:56","2022-11-25 10:45:30"
156,15,"2022-11-25 13:05:13","2022-11-25 13:19:46"
157,15,"2022-11-25 16:49:32","2022-11-25 16:53:33"
158,15,"2022-11-26 00:42:39","2022-11-26 00:48:20"
159,15,"2022-11-26 03:56:37","2022-11-26 04:11:13"
160,15,"2022-11-26 05:17:05","2022-11-26 05:23:17"
161,15,"2022-11-26 08:54:03","2022-11-26 09:01:18"
162,15,"2022-11-26 14:00:09","2022-11-26 14:05:17"
163,15,"2022-11-26 20:54:46","2022-11-26 21:04:25"
164,15,"2022-11-27 00:10:34","2022-11-27 00:24:42"
165,15,"2022-11-27 07:36:04","2022-11-27 07:39:57"
166,15,"2022-11-27 15:04:24","2022-11-27 15:10:18"
167,15,"2022-11-27 23:10:37","2022-11-27 23:21:41"
168,15,"2022-11-28 07:19:39","2022-11-28 07:29:21"
169,15,"2022-11-28 15:14:50","2022-11-28 15:24:32"
170,15,"2022-11-28 17:22:05","2022-11-28 17:35:05"
171,16,"2022-09-25 04:48:26","2022-09-25 04:59:03"
172,16,"2022-09-25 12:45:05","2022-09-25 12:52:32"
173,16,"2022-09-25 17:12:49","2022-09-25 17:18:52"
